id,nome,preco,quantidade
20602,ECOSPORT 08/10,158.00,0
20603,FOCUS 03...,0.00,0
20604,GM,0.00,0
20605,OPALA 87/90,48.00,0
20606,OPALA 91/92,35.00,0
20607,M35300 CORSA 99/03 PRETA,28.00,0
20608,M35325 CORSA LIFE 08/10,55.00,0
20609,M32303 MONZA SLE 91/96,32.00,0
20610,MONZA 88/90,52.00,0
20611,M33301 KADETT 96/98,47.00,0
20612,ASTRA 98/02,48.00,0
20613,ASTRA 03... MOLDURA CROMADA,105.00,0
20614,ASTRA 03... MOLDURA PRETA,60.00,0
20615,MERIVA 02...,0.00,0
20616,MERIVA 10... FRISO CROMADO,95.00,0
20617,M38310 VECTRA 94/96,104.00,0
20618,M38300 VECTRA 97...,45.00,0
20619,VECTRA 97... COM MOLDURA CROMADA,112.00,0
20620,M38312 VECTRA 06/08 F/CROMADO,147.00,0
20621,VECTRA 09...,0.00,0
20622,CORSA SEDAN 03...,0.00,0
20623,M35310 CORSA/MONTANA 02/07,40.00,0
20624,CORSA/MONTANA 02/07 CROMADA,85.00,0
20625,CORSA/MONTANA 08/12 CROMADA,105.00,0
20626,CORSA/MONTANA 08/12 PRETA,55.00,0
20627,M35326 CLASSIC 11/16,47.00,0
20628,M35301 CORSA CLASSIC 10...,30.00,0
20629,M36320 CELTA/PRISMA 12... FRISO PRETO,89.00,0
20630,CELTA/PRISMA 12... FRISO CROMADO,120.00,0
20631,ONIX/PRISMA 13...,0.00,0
20632,ONIX/PRISMA 17...,0.00,0
20633,AGILE/MONTANA 10/12 C/FRISO,120.00,0
20634,VW,0.00,0
20635,M48312 KOMBI 06/08,123.00,0
20636,M48313 KOMBI 09...,123.00,0
20637,M48311 KOMBI 00...,35.00,0
20638,M45330 GOL 91/94 PRETA,30.00,0
20639,M45336 GOL 91/94 PRETA SEM EMBLEMA,30.00,0
20640,M45340 GOL 95/98 PRETA,28.00,0
20641,M45343 GOL/PARATI/SAVEIRO G3 FASE 1,38.00,0
20642,M45345 GOL/PARATI/SAVEIRO G3 FASE 2,38.00,0
20643,M45368 GOL G5 O9/12,30.00,0
20644,M45370 GOL G6 12...,70.00,0
20645,GOL G7 16..,92.00,0
20646,M48370 GOLF 94/99,123.00,0
20647,M48371 GOLF 00/07,62.00,0
20648,M48320 FOX 10/14,70.00,0
20649,FOX 15... C/FRISO CROMADO,118.00,0
20650,SANTANA 91/94,0.00,0
20651,M47310 SANTANA 95/98,38.00,0
20652,SANTANA 99...,0.00,0
20653,IMPORTADOS,0.00,0
20654,FIT 04/06,0.00,0
20655,FIT 07...,0.00,0
20656,MOLDURA FIT 07,0.00,0
20657,CLIO 13...,0.00,0
20658,LOGAN 12/14,0.00,0
20659,LOGAN 14...,0.00,0
20660,KWID 17...,0.00,0
20661,HB20 12/15 EXTERNA,0.00,0
20662,HB20 12/15 INTERNA,105.00,0
20663,HB20 SEDAN 16...INTERNA,0.00,0
20664,HB20 SEDAN 16... EXTERNA,0.00,0
20665,HB20 HACTH 16... INTERNA,0.00,0
20666,HB20 HACTH 16... EXTERNA,0.00,0
20667,HB20 HACTH 18... INTERNA,0.00,0
20668,HB20 HACTH 18... EXTERNA,0.00,0
20669,GRADE/ABAIXO PARABRISA,0.00,0
20670,FIAT,0.00,0
20671,FORD,0.00,0
20672,ESCORT/VERONA 92...,35.00,0
20673,GM,0.00,0
20674,CORSA 94/09 LD,48.00,0
20675,CORSA 94/09 LE,48.00,0
20676,VW,0.00,0
20677,GOL G3 99/07 / GOL G4 08/12,73.00,0
20678,GOL/SAVEIRO/VOYAGE G5 G6 G7,60.00,0
20679,LOGUS,35.00,0
20680,BRASILIA LD,10.00,0
20681,BRASILIA LE,10.00,0
20682,GOL 95/05 C/ BORRACHÃO,32.00,0
20683,IMPORTADOS,0.00,0
20684,GRADE PÁRA-CHOQUE,0.00,0
20685,FIAT,0.00,0
20686,M15074 PALIO ADV 04/07 S/F L.D,22.00,0
20687,M15075 PALIO ADV 04/07 S/F L.E,22.00,0
20688,M15076 PALIO ADV 04/07 C/F L.D,22.00,0
20689,M15077 PALIO ADV 04/07 C/F L.E,22.00,0
20690,M15042 PALIO 04/10 S/F L.D,20.00,0
20691,M15043 PALIO 04/10 S/F L.E,20.00,0
20692,M15044 PALIO 04/10 C/F L.D,20.00,0
20693,M15045 PALIO 04/10 C/F L.E,20.00,0
20694,M15040 PALIO 04... CENTRAL,25.00,0
20695,M15054 PALIO/SIENA 10/13 S/FURO L.D,20.00,0
20696,M15055 PALIO/SIENA 10/13 S/FURO L.E,20.00,0
20697,PALIO/SIENA 10/13 C/MILHA L.D,18.00,0
20698,PALIO/SIENA 10/13 C/MILHA L.E,18.00,0
20699,PALIO/SIENA 14... C/FURO LD,18.00,0
20700,PALIO/SIENA 14... C/FURO LE,18.00,0
20701,PALIO/SIENA 14... S/FURO LD,15.00,0
20702,PALIO/SIENA 14... S/FURO LE,15.00,0
20703,PALIO 10... CENTRAL,38.00,0
20704,M15065 PALIO/SIENA 12 CENTRAL,22.00,0
20705,FORD,0.00,0
20706,ECOSPORT 08... L.D,0.00,0
20707,ECOSPORT 08... L.E,0.00,0
20708,GM,0.00,0
20709,M35013 CLASSIC 11....CENTRAL,44.00,0
20710,VW,0.00,0
20711,M16028 GOL G3 S/F L.D,15.00,0
20712,M46029 GOL G3 S/F L.E,15.00,0
20713,M46030 GOL G3 C/F L.D,15.00,0
20714,M46031 GOL G3 C/F L.E,15.00,0
20715,M46027 GOL G3 FASE 1 CENTRAL,20.00,0
20716,M46040 GOL G3 S/F L.D,18.00,0
20717,M46041 GOL G3 S/F L.E,18.00,0
20718,M46042 GOL G3 C/F L.D,18.00,0
20719,M46043 GOL G3 C/F L.E,18.00,0
20720,M46046 GOL G3 FASE 2 CENTRAL,20.00,0
20721,M46048 GOL G5 S/F L.D,20.00,0
20722,M46049 GOL G5 S/F L.E,20.00,0
20723,M46050 GOL G5 C/F L.D,20.00,0
20724,M46051 GOL G5 C/F L.E,20.00,0
20725,M46064 GOL G5 COM ARO S/F L.D,26.00,0
20726,M46065 GOL G5 COM ARO S/F L.E,26.00,0
20727,M46052 GOL G5 COM ARO C/F L.D,26.00,0
20728,M46053 GOL G5 COM ARO C/F L.E,26.00,0
20729,M46047 GOL G5 CENTRAL SEM FRISO,52.00,0
20730,M46072 GOL G5 CENTRAL COM FRISO,77.00,0
20731,M46002 GOL G6 S/F L.D,20.00,0
20732,M46003 GOL G6 S/F L.E,20.00,0
20733,M46004 GOL G6 C/F L.D,20.00,0
20734,M46005 GOL G6 C/F L.E,20.00,0
20735,M46001 GOL G6 CENTRAL 12/15,71.00,0
20736,GOL TRACK/SAVEIRO G6 C/F L.D,0.00,0
20737,GOL TRACK/SAVEIRO G6 C/F L.E,0.00,0
20738,M46082 GOL G7 S/F LD,38.00,0
20739,M46083 GOL G7 S/F LE,38.00,0
20740,M46084 GOL G7 C/F LD,38.00,0
20741,M46085 GOL G7 C/F LE,38.00,0
20742,M46081 GOL G7 CENTRAL FRISO CROMADO,132.00,0
20743,GOLF CENTRAL 99/06,75.00,0
20744,M48016 FOX 10/14 S/F L.D,23.00,0
20745,M48017 FOX 10/14 S/F L.E,23.00,0
20746,M48018 FOX 10/14 C/F L.D,23.00,0
20747,M48019 FOX 10/14 C/F L.E,23.00,0
20748,M48026 FOX 10/14 CENTRAL,72.00,0
20749,M48032 FOX/SPACE 15... S/F LD,52.00,0
20750,M48033 FOX/SPACE 15... S/F LE,52.00,0
20751,M48034 FOX/SPACE 15... C/F LD,67.00,0
20752,M48035 FOX/SPACE 15... C/F LE,67.00,0
20753,FOX/SPACE 15... CENTRAL F/CROMADO,148.00,0
20754,IMPORTADOS,0.00,0
20755,M25030 HB20 C/F LD,22.00,0
20756,M25031 HB20 C/F LE,22.00,0
20757,M25028 HB20 S/F LD,22.00,0
20758,M25029 HB20 S/F LE,22.00,0
20759,M25026 HB20 12/15 CENTRAL,80.00,0
20760,EMBLEMA DA GRADE RADIADOR,0.00,0
20761,FIAT,0.00,0
20762,UNO SMART/FIORINO 97/01 / PALIO 96/99,0.00,0
20763,UNO 91/03 FILETE,0.00,0
20764,UNO FIRE/PALIO YONG 65MM,25.00,0
20765,FIORINO / PALIO / SIENA 85MM,0.00,0
20766,M15012 UNO FIRE/PALIO,22.00,0
20767,FORD,0.00,0
20768,GM,0.00,0
20769,M35012 CORSA GRAVATA DOURADA,25.00,0
20770,M35020 CORSA ( COPINHO ),25.00,0
20771,CELTA/PRISMA 12...,0.00,0
20772,M39014 MONTANA/AGILE 12,31.00,0
20773,GM/ASTRA,25.00,0
20774,VW,0.00,0
20775,M45011 GOL 91/95 MAIOR,18.00,0
20776,M45012 GOL 95/98 MENOR,18.00,0
20777,GOL G4/ FOX 03/09,0.00,0
20778,EMBLEMA TAMPA TRASEIRA,0.00,0
20779,FIAT,25.00,0
20780,FORD,0.00,0
20781,GM,0.00,0
20782,M39015 AGILE,30.00,0
20783,MONTANA/CORSA ( SPORT RESINADO ),24.00,0
20784,VW,20.00,0
20785,IMPORTADOS,0.00,0
20786,FIT 09... TAMPA TRASEIRA,32.00,0
20787,LANTERNA DIANTEIRA,0.00,0
20788,FIAT,0.00,0
20789,UNO 84/90 CRISTAL LD,37.00,0
20790,UNO 84/90 CRISTAL LE,37.00,0
20791,UNO 84/90 AMBAR LD,37.00,0
20792,UNO 84/90 AMBAR LE,37.00,0
20793,UNO/PREMIO/FIORINO 91.. CRISTAL C L.D,22.50,0
20794,UNO/PREMIO/FIORINO 91.. CRISTAL C L.E,22.50,0
20795,PALIO 95/98 CRISTAL C/C L.D,22.50,0
20796,PALIO 95/98 CRISTAL C/C L.E,22.50,0
20797,FORD,0.00,0
20798,CORCEL II AMBAR L.D,28.00,0
20799,CORCEL II AMBAR L.E,28.00,0
20800,CORCEL II CRISTAL L.D,28.00,0
20801,CORCEL II CRISTAL L.E,28.00,0
20802,ESCORT 84/86 AMBAR L.D,28.00,0
20803,ESCORT 84/86 AMBAR L.E,28.00,0
20804,ESCORT 84/86 CRISTAL L.D,28.00,0
20805,ESCORT 84/86 CRISTAL L.E,28.00,0
20806,DEL REY / CORCEL 85/91 AMBAR L.D,35.00,0
20807,DEL REY / CORCEL 85/91 AMBAR L.E,35.00,0
20808,DEL REY / CORCEL 85/91 CRISTAL L.D,35.00,0
20809,DEL REY / CORCEL 85/91 CRISTAL L.E,35.00,0
20810,ESCORT / APOLLO 87/92 AMBAR L.D,38.00,0
20811,ESCORT / APOLLO 87/92 AMBAR L.E,38.00,0
20812,ESCORT / APOLLO 87/92 CRISTAL L.D,38.00,0
20813,ESCORT / APOLLO 87/92 CRISTAL L.E,38.00,0
20814,ESCORT / VERONA 93/96 CRISTAL LD,42.00,0
20815,ESCORT / VERONA 93/98 CRISTAL LE,42.00,0
20816,ESCORT / VERONA 93/38 AMBAR LD,42.00,0
20817,ESCORT / VERONA 93/98 AMBAR LE,42.00,0
20818,RANGER ...97 AMBAR LD,43.00,0
20819,RANGER ...97 AMBAR LE,43.00,0
20820,RANGER ...97 CRISTAL LD,43.00,0
20821,RANGER ...97 CRISTAL LE,43.00,0
20822,GM,70.00,0
20823,MONZA 88/90 AMBAR LE,20.00,0
20824,MONZA 88/90 AMBAR LD,20.00,0
20825,MONZA 88/90 CRISTAL LE,20.00,0
20826,MONZA 88/90 CRISTAL LD,20.00,0
20827,MONZA 91... AMBAR LD,28.00,0
20828,MONZA 91... AMBAR LE,30.00,0
20829,MONZA 91... CRISTAL/A LD,30.00,0
20830,MONZA 91... CRISTAL/A LE,30.00,0
20831,OMEGA CRISTAL LD,38.00,0
20832,OMEGA CRISTA LE,38.00,0
20833,OPALA/CARAVAN 80/87 AMBAR LD,42.00,0
20834,OPALA/CARAVAN 80/87 AMBAR LE,42.00,0
20835,OPALA/CARAVAN 80/87 CRISTAL LD,42.00,0
20836,OPALA/CARAVAN 80/87 CRISTAL LE,42.00,0
20837,OPALA/CARAVAN 88/92 AMBAR LD,40.00,0
20838,OPALA/CARAVAN 88/92 AMBAR LE,40.00,0
20839,OPALA/CARAVAN 88/92 CRISTAL LD,42.00,0
20840,OPALA/CARAVAN 88/92 CRISTAL LE,42.00,0
20841,VW,0.00,0
20842,GOL 87/90 AMBAR LD,20.00,0
20843,GOL87/90 AMBAR LE,20.00,0
20844,GOL87/90 CRISTAL LD,20.00,0
20845,GOL87/90 CRISTAL LE,20.00,0
20846,GOL 91/94 CRISTAL C L.D HT,25.00,0
20847,GOL91/94 CRISTAL C LE,25.00,0
20848,GOL 91/94 CRISTAL A L.D HT,25.00,0
20849,GOL 91/94 CRISTAL A L.E HT,25.00,0
20850,GOL 91/94 AMBAR C L.D HT,25.00,0
20851,GOL 91/94 AMBAR C L.E HT,25.00,0
20852,GOL 91/94 AMBAR A L.D HT,25.00,0
20853,GOL 91/94 AMBAR A L.E HT,25.00,0
20854,GOL 95.. CRISTAL C L.D,22.00,0
20855,GOL 95.. CRISTAL C L.E,22.00,0
20856,GOL 95.. CRISTAL A L.D,22.00,0
20857,GOL 95.. CRISTAL A L.E,22.00,0
20858,GOL 95.. AMBAR C L.D HT,22.00,0
20859,GOL 95.. AMBAR C L.E HT,22.00,0
20860,GOL 95.. AMBAR A L.D HT,22.00,0
20861,GOL 95.. AMBAR A L.E HT,22.00,0
20862,SANTANA 2000 L.D,38.00,0
20863,SANTANA 2000 L.E,38.00,0
20864,LENTE LANTERNA DIANTEIRA,0.00,0
20865,FIAT,0.00,0
20866,FORD,0.00,0
20867,GM,0.00,0
20868,VW,0.00,0
20869,M41700 FUSCA 1300/1500 AMBAR,6.00,0
20870,M41701 FUSCA 1300/1500 CRISTAL,6.00,0
20871,VW 1300/1500 FUME,0.00,0
20872,LANTERNA TRASEIRA,0.00,0
20873,FIAT,0.00,0
20874,147 TRICOLOR LD,85.00,0
20875,147 TRICOLOR LE,85.00,0
20876,UNO 84/04 TRICO L.D,70.00,0
20877,UNO 84/04 TRICO L.E,70.00,0
20878,UNO 84/04 FUME L.D,70.00,0
20879,UNO 84/04 FUME L.E,70.00,0
20880,UNO 04/11 BICOLOR L.D,72.00,0
20881,UNO 04/11 BICOLOR L.E,74.00,0
20882,UNO 04/11 FUME L.D,65.00,0
20883,UNO 04/11 FUME L.E,65.00,0
20884,UNO VIVACE 12... LD,120.00,0
20885,UNO VIVACE 12... LE,120.00,0
20886,FIORINO 04/09 BICOLOR LD,65.00,0
20887,FIORINO 04/09 BICOLOR LE,65.00,0
20888,FIORINO 14.../DOBLO 10/18 LE,230.00,0
20889,FIORINO 14.../DOBLO 10/18 LD,235.00,0
20890,PALIO WEEKEND 97/00 L.D,145.00,0
20891,PALIO WEEKEND 97/00 L.E,145.00,0
20892,PALIO WEEKEND 01/03 LD,157.00,0
20893,PALIO WEEKEND 01/03 LE,157.00,0
20894,PALIO 96/99 L.D,72.00,0
20895,PALIO 96/99 L.E,72.00,0
20896,PALIO 01/03 TRICO L.D,116.00,0
20897,PALIO 01/03 TRICO L.E,116.00,0
20898,PALIO 01/03 FUME L.D,105.00,0
20899,PALIO 01/03 FUME L.E,105.00,0
20900,PALIO 04/06 L.D,108.00,0
20901,PALIO 04/06 L.E,108.00,0
20902,PALIO 07/11 RUBI L.D,95.00,0
20903,PALIO 07/11 RUBI L.E,95.00,0
20904,PALIO ''R'' BICOLOR LD,170.00,0
20905,PALIO ''R'' BICOLOR LE,170.00,0
20906,PALIO 08... FUME LD,108.00,0
20907,PALIO 08... FUME LE,108.00,0
20908,PALIO ECONOMY 12... L.D,120.00,0
20909,PALIO ECONOMY 12... L.E,120.00,0
20910,STRADA 98/00 LD,74.00,0
20911,STRADA 98/00 LE,74.00,0
20912,STRADA 01/04 L.D,84.00,0
20913,STRADA 01/04 L.E,84.00,0
20914,STRADA 05/08 L.D,95.00,0
20915,STRADA 05/08 L.E,95.00,0
20916,STRADA 10/13 LD,100.00,0
20917,STRADA 10/13 LE,100.00,0
20918,STRADA TAMPA 08... L.D,108.00,0
20919,STRADA TAMPA 08... L.E,108.00,0
20920,STRADA 15... LD,245.00,0
20921,STRADA 15... LE,245.00,0
20922,SIENA 97/00 FUME L.D,0.00,0
20923,SIENA 97/00 FUME L.E,0.00,0
20924,SIENA 01/03 TRICOLOR LD,155.00,0
20925,SIENA 01/03 TRICOLOR LE,155.00,0
20926,SIENA 04/08 LD,95.00,0
20927,SIENA 04/08 LE,95.00,0
20928,FORD,0.00,0
20929,ESCORT 87/92 TRICO LD,73.00,0
20930,ESCORT 87/92 TRICO LE,73.00,0
20931,KA 97/01 TRICOLOR LD,120.00,0
20932,KA 97/01 TRICOLOR LE,120.00,0
20933,KA 01/07 RUBI L.D,0.00,0
20934,KA 01/07 RUBI L.E,0.00,0
20935,KA 08/11 RUBI L.D,155.00,0
20936,KA 08/11 RUBI L.E,155.00,0
